question,answers,wrongChoices,explanation,tags
794年に都を平安京に移した天皇はだれですか。,桓武天皇,聖武天皇;天智天皇;推古天皇,桓武天皇は律令政治を立て直すため、794年に平安京へ都を移した。聖武天皇は奈良時代に東大寺の大仏をつくらせた天皇、天智天皇は中大兄皇子が即位した天皇、推古天皇は聖徳太子を摂政とした飛鳥時代の女帝で、いずれも平安京とは関係がない。,小5下社会;第4回;平安時代;桓武天皇
桓武天皇が784年に平城京から都を移した先はどこですか。,長岡京,平安京;藤原京;難波京,784年にまず長岡京へ移し、794年にさらに平安京へ移した。平安京は794年の移転先、藤原京は694年に持統天皇がつくった都、難波京は大阪につくられた都で、784年の移転先ではない。,小5下社会;第4回;平安時代;桓武天皇
平安京が置かれたのは現在のどこですか。,京都府,奈良県;滋賀県;大阪府,平安京は現在の京都市にあたる。奈良県にあったのは平城京、滋賀県にあるのは最澄が延暦寺を建てた比叡山、大阪府にあったのは難波京で、平安京の場所ではない。,小5下社会;第4回;平安時代;桓武天皇
桓武天皇が平城京から都を移した理由として正しいものはどれですか。,力を強めた仏教勢力を政治から切りはなし、律令政治を立て直すため,仏教をあつく保護し、寺を新しい都に集めるため;摂関政治を始めて藤原氏の力を強めるため;蝦夷の攻撃から都を守るため,桓武天皇は平城京で強くなりすぎた仏教勢力を政治から切りはなすために都を移し、はじめは平安京に寺をつくらせなかった。寺を集めるためというのは逆であり、摂関政治を行ったのは藤原氏、蝦夷への対応は坂上田村麻呂の派遣であって遷都の理由ではない。,小5下社会;第4回;平安時代;桓武天皇
797年に桓武天皇から征夷大将軍に任命されたのはだれですか。,坂上田村麻呂,源義家;平将門;藤原純友,坂上田村麻呂は征夷大将軍として東北地方の蝦夷を討伐した。源義家は11世紀後半の東北の争いをしずめた武士、平将門と藤原純友は939年に反乱を起こした人物で、いずれも桓武天皇の時代の人ではない。,小5下社会;第4回;平安時代;桓武天皇
坂上田村麻呂が任命された役職は何ですか。,征夷大将軍,太政大臣;摂政;関白,坂上田村麻呂は征夷大将軍に任命された。太政大臣は朝廷の最高の役職で武士として初めてついたのは平清盛、摂政と関白は藤原氏が天皇を補佐するためについた役職である。,小5下社会;第4回;平安時代;桓武天皇
坂上田村麻呂が兵を送って戦ったのはどの地方ですか。,東北地方,関東地方;九州地方;瀬戸内地方,征夷大将軍として東北地方の蝦夷と戦った。関東地方は平将門の乱、九州地方は防人や大宰府、瀬戸内地方は藤原純友の乱と結びつく地域である。,小5下社会;第4回;平安時代;桓武天皇
桓武天皇が行ったこととして、まちがっているものはどれですか。,仏教をあつく保護し、平城京にあった寺の多くを平安京に移した,国司の不正をなくすため、監督をきびしくした;律令政治の立て直しのため、新しい官職をつくった;農民の負担を減らすため、兵役をなくした,桓武天皇は仏教勢力と政治を切りはなすために都を移したので、平城京の寺を平安京に移すことはしなかった。国司の監督を強めたこと、新しい官職をつくったこと、農民の兵役を減らしたことは、いずれも桓武天皇が行った律令政治の立て直しの政策である。,小5下社会;第4回;平安時代;桓武天皇
805年に唐から帰国し、天台宗を伝えたのはだれですか。,最澄,空海;鑑真;行基,最澄が天台宗を伝えた。空海は真言宗を開いた僧、鑑真は奈良時代に唐から戒律を伝えた僧、行基は奈良時代に大仏づくりに協力した僧である。,小5下社会;第4回;平安時代;新しい仏教
最澄が滋賀県に開いた寺はどれですか。,比叡山延暦寺,高野山延暦寺;高野山金剛峯寺;比叡山金剛峯寺,最澄は比叡山に延暦寺を建てた。高野山にあるのは空海が建てた金剛峯寺であり、高野山に延暦寺はなく、比叡山に金剛峯寺もない。山の名前と寺の名前の組み合わせに注意する。,小5下社会;第4回;平安時代;新しい仏教
806年に真言宗を開いたのはだれですか。,空海,最澄;円仁;円珍,空海が真言宗を開いた。最澄は天台宗を伝えた僧、円仁と円珍はどちらも最澄のあとの天台宗の僧である。,小5下社会;第4回;平安時代;新しい仏教
空海が高野山に建てた寺はどれですか。,金剛峯寺,延暦寺;法隆寺;平等院鳳凰堂,空海は高野山に金剛峯寺を建てた。延暦寺は最澄が比叡山に建てた寺、法隆寺は聖徳太子が建てた寺、平等院鳳凰堂は藤原頼通が建てた阿弥陀堂である。,小5下社会;第4回;平安時代;新しい仏教
最澄が亡くなった後にあたえられた大師の号はどれですか。,伝教大師,弘法大師;慈覚大師;智証大師,最澄は伝教大師とよばれる。弘法大師は空海、慈覚大師は円仁、智証大師は円珍にあたえられた号で、円仁と円珍はどちらも天台宗の僧である。,小5下社会;第4回;平安時代;新しい仏教
弘法大師とよばれるのはだれですか。,空海,最澄;円仁;円珍,空海が弘法大師である。最澄は伝教大師、円仁は慈覚大師、円珍は智証大師とよばれた。,小5下社会;第4回;平安時代;新しい仏教
円仁や円珍は何宗の僧ですか。,天台宗,真言宗;浄土真宗;臨済宗,円仁(慈覚大師)と円珍(智証大師)はどちらも最澄が伝えた天台宗の僧である。真言宗は空海が開いた宗派、浄土真宗と臨済宗は鎌倉時代に広まった新しい仏教で、平安時代初めの宗派ではない。,小5下社会;第4回;平安時代;新しい仏教
894年に遣唐使の派遣停止を提案したのはだれですか。,菅原道真,藤原道長;紀貫之;坂上田村麻呂,菅原道真の意見により遣唐使の派遣が停止された。藤原道長は11世紀に摂政となった貴族、紀貫之は『古今和歌集』や『土佐日記』の作者、坂上田村麻呂は征夷大将軍で、遣唐使の停止とは関係がない。,小5下社会;第4回;平安時代;遣唐使
菅原道真が遣唐使の派遣停止を提案した理由として正しいものはどれですか。,唐がおとろえていたことと、航海の危険が大きかったこと,日本が唐と戦争を始めたため;宋との貿易がさかんになったため;日本に仏教が伝わっていなかったため,唐の衰退と航海の危険性が理由である。日本と唐が戦争をしていたわけではなく、宋ができるのは10世紀半ばで894年より後、仏教はすでに6世紀に伝わっている。,小5下社会;第4回;平安時代;遣唐使
【資料3】この資料から読みとれることとして正しいものはどれですか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/04/004.png,894年より後にも、遣唐使に関する役職に就いた人物がいた,894年に遣唐使が廃止され、その後だれも任命されなかった;菅原道真は894年に遣唐使として唐にわたった;遣唐使は1000年ごろまで毎年送られ続けた,資料3には897年・898年・901年と、894年より後に遣唐使に関する役職に就いた人物が記されている。だから任命が完全に途絶えたとはいえない。菅原道真自身は唐にわたっておらず、毎年派遣が続いたことを示す資料でもない。,小5下社会;第4回;平安時代;資料問題
教材の表記が「遣唐使を廃止しました」から「遣唐使の派遣を停止しました」に変更されたのはなぜですか。,894年より後も遣唐使に関する役職に就いた人物がいて、制度そのものがなくなったとはいえないから,遣唐使が894年に再開されたことがわかったから;菅原道真の提案が採用されなかったことがわかったから;遣唐使が停止された年が894年ではなかったから,資料3から、894年以降も遣唐使に関する役職に就いた人物がいたことがわかるため、「廃止」ではなく「派遣を停止」と改められた。再開されたわけでも、提案が採用されなかったわけでもなく、894年という年も変わっていない。,小5下社会;第4回;平安時代;資料問題
藤原氏が政治の実権をにぎるために行ったことは何ですか。,娘を天皇のきさきにし、生まれた子どもを次の天皇にした,武士を家来にして朝廷を武力でおさえた;天皇の位をゆずって上皇となった;征夷大将軍に任命されて幕府を開いた,藤原氏は娘を天皇のきさきにして、生まれた子を次の天皇に立てることで力をにぎった。武力でおさえたのではなく、上皇となって政治を行うのは院政、幕府を開くのは鎌倉時代の源頼朝である。,小5下社会;第4回;平安時代;摂関政治
天皇が幼いときに、天皇に代わって政治を行う役職を何といいますか。,摂政,関白;太政大臣;征夷大将軍,幼い天皇に代わるのが摂政である。関白は天皇が成人した後に天皇を助ける役職、太政大臣は朝廷の最高の役職、征夷大将軍は蝦夷の討伐などにあたる武官の職である。,小5下社会;第4回;平安時代;摂関政治
天皇が成人したあと、天皇を助けて政治を行う役職を何といいますか。,関白,摂政;太政大臣;国司,成人した天皇を助けるのが関白である。摂政は天皇が幼いときの役職、太政大臣は朝廷の最高の役職、国司は地方の国に送られた役人である。,小5下社会;第4回;平安時代;摂関政治
藤原氏が摂政や関白の地位について行った政治を何といいますか。,摂関政治,院政;執権政治;律令政治,摂政・関白による政治なので摂関政治という。院政は上皇が行う政治、執権政治は鎌倉時代の北条氏の政治、律令政治は律令にもとづく政治のしくみである。,小5下社会;第4回;平安時代;摂関政治
866年に臣下として初めて摂政となったのはだれですか。,藤原良房,藤原基経;藤原道長;藤原頼通,臣下として初めて摂政となったのは藤原良房である。藤原基経は臣下として初めて関白となった人物、藤原道長は1016年に摂政となった人物、藤原頼通はその子である。,小5下社会;第4回;平安時代;摂関政治
887年に臣下として初めて関白となったのはだれですか。,藤原基経,藤原良房;藤原道長;藤原元命,臣下として初めて関白となったのは藤原基経である。藤原良房は初めて摂政となった人物、藤原道長は11世紀の摂政、藤原元命は尾張国の国司として不正をうったえられた人物である。,小5下社会;第4回;平安時代;摂関政治
1016年に摂政に任命され、藤原氏の全盛期をきずいたのはだれですか。,藤原道長,藤原頼通;藤原良房;藤原基経,1016年に摂政となったのは藤原道長である。藤原頼通はその子、藤原良房と藤原基経は9世紀に初めて摂政・関白となった人物である。,小5下社会;第4回;平安時代;摂関政治
1018年に「望月の歌」をよんだとされるのはだれですか。,藤原道長,藤原頼通;紀貫之;紫式部,「この世をば…」の望月の歌をよんだのは藤原道長である。藤原頼通はその子で平等院鳳凰堂を建てた人物、紀貫之は『古今和歌集』の編者、紫式部は『源氏物語』の作者である。,小5下社会;第4回;平安時代;摂関政治
藤原道長の子で、1017年に摂政、1019年に関白となったのはだれですか。,藤原頼通,藤原良房;藤原基経;藤原純友,藤原道長の子は藤原頼通である。藤原良房と藤原基経は9世紀の人物、藤原純友は939年に瀬戸内海で反乱を起こした人物である。,小5下社会;第4回;平安時代;摂関政治
1053年に平等院鳳凰堂を建てたのはだれですか。,藤原頼通,藤原道長;白河上皇;平清盛,平等院鳳凰堂を建てたのは藤原頼通である。藤原道長はその父、白河上皇は院政を始めた人物、平清盛は厳島神社をあつく信仰した武士である。,小5下社会;第4回;平安時代;摂関政治
平等院鳳凰堂は何をまつるために建てられた建物ですか。,阿弥陀仏,大仏(盧舎那仏);天照大神;釈迦の骨,10世紀ごろから阿弥陀仏を信じると救われるという浄土信仰が広まり、阿弥陀仏をまつる阿弥陀堂が建てられた。平等院鳳凰堂もその一つである。大仏をまつるのは東大寺、天照大神をまつるのは神社、釈迦の骨をおさめるとされるのは仏塔である。,小5下社会;第4回;平安時代;摂関政治
京都の町で人々に浄土教(浄土信仰)を広めたのはだれですか。,空也,空海;最澄;鑑真,京都の町で浄土教を広めたのは空也である。空海は真言宗、最澄は天台宗を開いた僧、鑑真は奈良時代に戒律を伝えた僧で、浄土教を広めた人物ではない。,小5下社会;第4回;平安時代;摂関政治
1052年から始まるとされ、仏教の力がおとろえて世が乱れると信じられた考え方を何といいますか。,末法,院政;摂関政治;国風文化,1052年から末法の世に入るとされ、人々の不安が高まって浄土信仰が広まった。院政は上皇の政治、摂関政治は藤原氏の政治、国風文化は日本風の文化で、いずれも仏教の教えの考え方ではない。,小5下社会;第4回;平安時代;摂関政治
9世紀後半から10世紀にかけて栄えた、日本の風土や生活にあった文化を何といいますか。,国風文化,天平文化;飛鳥文化;白鳳文化,唐の文化をふまえながら日本の風土に合わせた文化が国風文化である。天平文化は奈良時代、飛鳥文化は飛鳥時代の日本初の仏教文化、白鳳文化は飛鳥時代後半の文化である。,小5下社会;第4回;平安時代;国風文化
国風文化が栄えたのはどのようなころですか。,藤原道長・頼通父子が政治の実権をにぎった摂関政治のころ,聖武天皇が大仏をつくらせたころ;平清盛が太政大臣になったころ;源頼朝が幕府を開いたころ,国風文化は摂関政治が行われた時期に栄えた。聖武天皇のころは天平文化、平清盛や源頼朝の時代はさらに後の平安時代末から鎌倉時代にあたる。,小5下社会;第4回;平安時代;国風文化
